method,family,horizon,policy,resolved_policy,threshold,cal_recall,cal_ppv,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high
lgbm_jitter_3x,lightgbm,600,recall_first,recall_first,0.075477240586961,0.7123287671232876,0.163538873994638,2.549019607843137,0.7916666666666666,0.181159420289855,2.093561834182492,19,24,0.820844365989997,0.1862479274585766,0.0071282587927422,1,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.5988888888888889,0.9260536398467434,0.1047186147186147,0.288364635822263,1.3441014942599312,2.9662523279273687
lgbm_jitter_3x,lightgbm,600,fa_budget,max_recall_within_fa_budget,0.1965173348577319,0.3150684931506849,0.3012048192771084,0.4738562091503268,0.375,0.3448275862068966,0.3520148216767021,9,24,0.820844365989997,0.1862479274585766,0.0071282587927422,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0997727272727272,0.6375598086124404,0.1995454545454545,0.5,0.0751272966010273,0.7989695428660978
catboost_plain,catboost,600,recall_first,recall_first,0.0551683398026133,0.7123287671232876,0.1370192307692307,2.933006535947712,0.875,0.1646341463414634,2.5382121352478,21,24,0.832141806413651,0.1940693800840208,0.0115590302424507,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6869791666666667,1.0,0.0902938154920895,0.261235481453728,1.8154231581531857,3.380748206472038
catboost_plain,catboost,600,fa_budget,max_recall_within_fa_budget,0.2078105818781575,0.3150684931506849,0.2976190476190476,0.4820261437908496,0.2916666666666667,0.2692307692307692,0.3520148216767021,7,24,0.832141806413651,0.1940693800840208,0.0115590302424507,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0624080882352941,0.5,0.1172058823529411,0.5461038961038962,0.070715381516811,0.7440076836114645
catboost_balanced,catboost,600,recall_first,recall_first,0.0676629314309266,0.7123287671232876,0.1376811594202898,2.9166666666666665,0.875,0.170886075949367,2.427049559981473,21,24,0.7946171531932049,0.1773660057617475,0.0070680107184226,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6875,0.9730534105534108,0.0999834437086092,0.2857589285714285,1.5893930866042594,3.349591174742728
catboost_balanced,catboost,600,fa_budget,max_recall_within_fa_budget,0.1935479933113718,0.2465753424657534,0.2631578947368421,0.457516339869281,0.375,0.3214285714285714,0.3520148216767021,9,24,0.7946171531932049,0.1773660057617475,0.0070680107184226,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0997727272727272,0.6375598086124404,0.1995454545454545,0.4076388888888889,0.1032855713090608,0.6872198915533742
catboost_balanced_jitter,catboost,600,recall_first,recall_first,0.0635819262310625,0.684931506849315,0.1393643031784841,2.8758169934640523,0.9166666666666666,0.1878787878787878,2.482630847614636,22,24,0.8216316345766184,0.1984180138300447,0.0106016926673802,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7331818181818182,1.0,0.1097230384954452,0.3210899175451414,1.7040468469397865,3.4244770412312957
catboost_balanced_jitter,catboost,600,fa_budget,max_recall_within_fa_budget,0.2059912135952785,0.3013698630136986,0.2948717948717949,0.4493464052287581,0.3333333333333333,0.32,0.3149606299212598,8,24,0.8216316345766184,0.1984180138300447,0.0106016926673802,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0997727272727272,0.5655606407322655,0.1814393939393939,0.4501136363636364,0.1008651118905763,0.6077456337924162
tabm_20260917,tabm,600,recall_first,recall_first,0.0832562562823295,0.6986301369863014,0.1769662921348314,2.3937908496732025,0.875,0.2,1.9268179712830011,21,24,0.8131242304381462,0.2273146926137733,0.0061550109051172,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7,1.0,0.1127685284640171,0.3248299319727891,1.1446920217219303,2.7868387953073945
tabm_20260917,tabm,600,fa_budget,max_recall_within_fa_budget,0.2195703089237212,0.3424657534246575,0.3103448275862069,0.4901960784313725,0.3333333333333333,0.4210526315789473,0.2037980546549328,8,24,0.8131242304381462,0.2273146926137733,0.0061550109051172,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0623263888888888,0.6529748283752862,0.1538461538461538,0.6878125,0.0351614916523638,0.4452614441204537
tabm_20260918,tabm,600,recall_first,recall_first,0.0883065015077591,0.6986301369863014,0.1783625730994152,2.295751633986928,0.8333333333333334,0.2100840336134453,1.7415470125057897,20,24,0.8157175857823107,0.2199661525229998,0.0062369674875871,1,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6246527777777778,0.9631313131313132,0.1084455324357405,0.3518077601410935,1.0201305268961431,2.4968020289998543
tabm_20260918,tabm,600,fa_budget,max_recall_within_fa_budget,0.211025641025641,0.3698630136986301,0.3296703296703296,0.4983660130718954,0.3333333333333333,0.3636363636363636,0.2593793422880963,8,24,0.8157175857823107,0.2199661525229998,0.0062369674875871,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0623263888888888,0.6529748283752862,0.1111111111111111,0.5238721804511278,0.0914112290748724,0.5086513053274923
tabm_20260919,tabm,600,recall_first,recall_first,0.0729434713721275,0.6986301369863014,0.1548223350253807,2.7205882352941173,0.875,0.184931506849315,2.204724409448819,21,24,0.8261367722532771,0.2449829316225755,0.0085301123974953,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.6666666666666666,1.0,0.0957513031490975,0.3308897243107769,1.330303435469399,3.109589345422545
tabm_20260919,tabm,600,fa_budget,max_recall_within_fa_budget,0.2229454419016838,0.3424657534246575,0.3294117647058823,0.4656862745098039,0.2916666666666667,0.4210526315789473,0.2037980546549328,7,24,0.8261367722532771,0.2449829316225755,0.0085301123974953,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.0623263888888888,0.5798582995951419,0.1426190476190476,0.625,0.0719916525553623,0.4189234592157125
ensemble_diverse,ensemble,600,recall_first,recall_first,0.0928316878904505,0.7123287671232876,0.1987381703470031,2.07516339869281,0.875,0.2347826086956521,1.6303844372394627,21,24,0.8277766881326751,0.2350598810430452,0.0124745911086476,2,7,"auroc,alarm_ppv,prediction_coverage,early_5min_sensitivity,false_alarms_per_hour",0.7,1.0,0.141541469438156,0.3647078804347826,1.0212491454767234,2.3241863170519537
ensemble_diverse,ensemble,600,fa_budget,max_recall_within_fa_budget,0.1858974358974359,0.3698630136986301,0.3333333333333333,0.4901960784313725,0.4583333333333333,0.4137931034482758,0.3149606299212598,11,24,0.8277766881326751,0.2350598810430452,0.0124745911086476,2,7,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,early_5min_sensitivity",0.1499537037037037,0.7778985507246378,0.2497023809523809,0.6002777777777778,0.0709578624500956,0.648197837212811
